,count,unique,top,freq,mean,std,min,25%,50%,75%,max
FlightDate,407832,212,2022-07-21,2202,,,,,,,
Airline,407832,21,Southwest Airlines Co.,73239,,,,,,,
Origin,407832,374,ATL,18234,,,,,,,
Dest,407832,374,ATL,18420,,,,,,,
Cancelled,407832,2,False,395737,,,,,,,
Diverted,407832,2,False,406793,,,,,,,
CRSDepTime,407832.0,,,,1329.1371814864945,490.72720566079573,1.0,914.0,1320.0,1734.0,2359.0
DepTime,396013.0,,,,1333.6335549590544,505.88059475553,1.0,917.0,1325.0,1743.0,2400.0
DepDelayMinutes,396011.0,,,,16.115835166194877,52.61655506718402,0.0,0.0,0.0,11.0,2650.0
DepDelay,396011.0,,,,13.192860804371596,53.62160089049317,-55.0,-5.0,-1.0,11.0,2650.0
ArrTime,395636.0,,,,1457.4612017106633,543.1144267719396,1.0,1046.0,1459.0,1913.0,2400.0
ArrDelayMinutes,394698.0,,,,15.882234011826764,52.335749678603094,0.0,0.0,0.0,10.0,2678.0
AirTime,394698.0,,,,111.11382373358872,70.04420651486522,8.0,60.0,94.0,141.0,667.0
CRSElapsedTime,407832.0,,,,141.41418034877105,71.85885751949544,5.0,89.0,125.0,172.0,690.0
ActualElapsedTime,394698.0,,,,135.9442561148017,71.97119847824591,16.0,83.0,119.0,167.0,711.0
Distance,407832.0,,,,798.7961390964907,591.885564021153,31.0,368.0,645.0,1035.0,5095.0
Year,407832.0,,,,2022.0,0.0,2022.0,2022.0,2022.0,2022.0,2022.0
Quarter,407832.0,,,,1.7421806037780263,0.7032097892171255,1.0,1.0,2.0,2.0,3.0
Month,407832.0,,,,4.086748955452245,1.997555035510432,1.0,2.0,4.0,6.0,7.0
DayofMonth,407832.0,,,,15.709105710194393,8.757185535241248,1.0,8.0,16.0,23.0,31.0
DayOfWeek,407832.0,,,,4.008250946468154,2.0058976941834055,1.0,2.0,4.0,6.0,7.0
Marketing_Airline_Network,407832,10,AA,103932,,,,,,,
Operated_or_Branded_Code_Share_Partners,407832,14,WN,73239,,,,,,,
DOT_ID_Marketing_Airline,407832.0,,,,19831.051984640733,276.32254026549595,19393.0,19790.0,19805.0,19977.0,20436.0
IATA_Code_Marketing_Airline,407832,10,AA,103932,,,,,,,
Flight_Number_Marketing_Airline,407832.0,,,,2564.2171237176094,1747.3137158418092,1.0,1106.0,2226.0,3880.0,9667.0
Operating_Airline,407832,21,WN,73239,,,,,,,
DOT_ID_Operating_Airline,407832.0,,,,19991.375980796012,376.9126870128892,19393.0,19790.0,19977.0,20378.0,20500.0
IATA_Code_Operating_Airline,407832,21,WN,73239,,,,,,,
Tail_Number,405168,5877,N475HA,188,,,,,,,
Flight_Number_Operating_Airline,407832.0,,,,2564.234150336413,1747.345029692214,1.0,1106.0,2226.0,3880.0,9667.0
OriginAirportID,407832.0,,,,12663.088980266384,1524.0370514960555,10135.0,11292.0,12889.0,14027.0,16869.0
OriginAirportSeqID,407832.0,,,,1266312.7352757999,152403.51585940426,1013506.0,1129202.0,1288903.0,1402702.0,1686901.0
OriginCityMarketID,407832.0,,,,31759.05727358324,1321.6898742392755,30070.0,30693.0,31453.0,32467.0,36101.0
OriginCityName,407832,368,"Chicago, IL",21345,,,,,,,
OriginState,407832,53,TX,42377,,,,,,,
OriginStateFips,407832.0,,,,27.456923439063143,16.71800920389836,1.0,12.0,26.0,42.0,78.0
OriginStateName,407832,53,Texas,42377,,,,,,,
OriginWac,407832.0,,,,53.9693574805312,26.658780180253295,1.0,33.0,44.0,81.0,93.0
DestAirportID,407832.0,,,,12657.774301673238,1524.0365603807606,10135.0,11292.0,12889.0,14027.0,16869.0
DestAirportSeqID,407832.0,,,,1265781.2675537968,152403.45935244768,1013506.0,1129202.0,1288903.0,1402702.0,1686901.0
DestCityMarketID,407832.0,,,,31757.69207418741,1321.074504028269,30070.0,30693.0,31453.0,32467.0,36101.0
DestCityName,407832,368,"Chicago, IL",21253,,,,,,,
DestState,407832,53,TX,42562,,,,,,,
DestStateFips,407832.0,,,,27.446909511759745,16.684320632919178,1.0,12.0,26.0,42.0,78.0
DestStateName,407832,53,Texas,42562,,,,,,,
DestWac,407832.0,,,,53.959250377606466,26.65348470649655,1.0,33.0,44.0,81.0,93.0
DepDel15,396011.0,,,,0.21868584458512516,0.4133555097284901,0.0,0.0,0.0,0.0,1.0
DepartureDelayGroups,396011.0,,,,0.21957975914810446,2.3554947253788083,-2.0,-1.0,-1.0,0.0,12.0
DepTimeBlk,407832,19,0600-0659,28775,,,,,,,
TaxiOut,395790.0,,,,16.960756967078503,9.474506884966925,1.0,11.0,15.0,19.0,183.0
WheelsOff,395790.0,,,,1355.660039414841,507.8484067468322,1.0,932.0,1338.0,1757.0,2400.0
WheelsOn,395635.0,,,,1454.497999418656,537.8908761622577,1.0,1043.0,1456.0,1908.0,2400.0
TaxiIn,395635.0,,,,7.880210294842469,6.648814254066445,1.0,4.0,6.0,9.0,251.0
CRSArrTime,407832.0,,,,1485.8819391317993,518.2780289800651,1.0,1102.0,1512.0,1920.0,2359.0
ArrDelay,394698.0,,,,7.6205731977359905,55.59504124664362,-91.0,-14.0,-5.0,10.0,2678.0
ArrDel15,394698.0,,,,0.21616020349735748,0.4116253140886919,0.0,0.0,0.0,0.0,1.0
ArrivalDelayGroups,394698.0,,,,-0.05896913589630553,2.4974530756676225,-2.0,-1.0,-1.0,0.0,12.0
ArrTimeBlk,407832,19,1200-1259,25827,,,,,,,
DistanceGroup,407832.0,,,,3.6662302124404165,2.3223435452582684,1.0,2.0,3.0,5.0,11.0
DivAirportLandings,407832.0,,,,0.003753996743757233,0.11535858008523,0.0,0.0,0.0,0.0,9.0
